MATCH STATISTICS
Player                    W    L   percentage
Jerzy Janowicz          225  227        0.498
Andreas Haider-Maurer    97   98        0.497
Blaz Rola                83   84        0.497
Jarkko Nieminen         146  148        0.497
Dusan Lajovic           157  160        0.495
Denis Istomin           150  153        0.495
Teymuraz Gabashvili     151  155        0.493
Robin Haase             111  114        0.493
Donald Young            137  141        0.493
Simone Bolelli          145  151        0.490
Marco Chiudinelli        24   25        0.490
Mikhail Kukushkin       129  135        0.489
Benoit Paire            148  155        0.488
Axel Michon              36   38        0.486
Lukasz Kubot             97  103        0.485
Pablo Cuevas             77   82        0.484
Damir Dzumhur            75   80        0.484
Jan Hernych              44   47        0.484
Ivo Karlovic            123  132        0.482
Julien Benneteau        116  125        0.481
Vincent Millot           38   41        0.481
Aleksandr Nedovyesov     87   95        0.478
Nedovyesov Nedovyesov    21   23        0.477
Juan Monaco              62   69        0.473
Lleyton Hewitt          100  112        0.472
Santiago Giraldo         97  109        0.471
Marinko Matosevic       118  133        0.470
Marsel Ilhan             21   24        0.467
Daniel Brands            55   63        0.466
Yen-Hsun Ferrer          20   23        0.465
Dustin Brown             59   68        0.465
Radek Stepanek          117  135        0.464
Laurent Lokoli           25   29        0.463
Illya Marchenko          37   43        0.463
Yuichi Sugita            18   21        0.462
Julian Reister           58   68        0.460
Gilles Muller            57   67        0.460
Pablo Carreno-Busta     102  120        0.459
Kenny De-Schepper        77   91        0.458
Luke Saville             31   37        0.456
Frank Dancevic           67   80        0.456
Alejandro Falla          84  101        0.454
Carlos Berlocq           79   95        0.454
Jordan Thompson          19   23        0.452
Pablo Andujar            82  100        0.451
Nikolay Davydenko        49   60        0.450
Facundo Arguello         22   27        0.449
Victor Estrella-Burgos   78   96        0.448
Evgeny Donskoy           34   42        0.447
Miloslav Mecir           17   21        0.447
Tobias Kamke             89  110        0.447
Benjamin Becker          84  104        0.447
Maximo Gonzalez          21   26        0.447
Sergiy Stakhovsky        87  108        0.446
Vasek Pospisil           91  113        0.446
Jan-Lennard Struff       86  107        0.446
Lukas Rosol              88  110        0.444
Michal Przysiezny        74   93        0.443
Alexander Kudryavtsev    35   44        0.443
Somdev Devvarman         54   68        0.443
Nicolas Mahut            72   91        0.442
Victor Hanescu           63   80        0.441
Diego Schwartzman        37   47        0.440
Steve Johnson            95  121        0.440
Daniel Evans             18   23        0.439
Pierre-Hugues Herbert    36   46        0.439
Alejandro Gonzalez       78  100        0.438
Ante Pavic               39   50        0.438
Federico Delbonis        67   86        0.438
Jurgen Melzer            63   81        0.438
Aleksandr De-Schepper    16   21        0.432
Facundo Bagnis           52   69        0.430
Matthew Ebden            85  113        0.429
Malek Jaziri             15   20        0.429
Rhyne Williams           18   24        0.429
Ivan Dodig               60   81        0.426
Filip Krajinovic         17   23        0.425
Thanasi Kokkinakis       28   38        0.424
Bradley Klahn            73  101        0.420
Daniel Cox               18   25        0.419
Samuel Groth             28   39        0.418
Paul-Henri Mathieu       62   87        0.416
Denis Kudla              40   57        0.412
Marcos Giron             14   20        0.412
Dudi Sela                70  100        0.412
Horacio Zeballos         14   20        0.412
Igor Sijsling            53   76        0.411
Marcos Baghdatis         56   81        0.409
Paolo Lorenzi            41   60        0.406
Joao Sousa               70  104        0.402
James Duckworth          46   69        0.400
Bernard Tomic            69  104        0.399
Michael Russell          47   71        0.398
Lucas Pouille            27   41        0.397
Michael Llodra           45   69        0.395
James McGee              15   23        0.395
Zhang Zhang              15   23        0.395
Konstantin Kravchuk      13   20        0.394
Wayne Odesnik            30   47        0.390
Andreas Beck             26   41        0.388
Daniel Smethurst         12   19        0.387
Filippo Volandri         36   57        0.387
Yen-Hsun Yen-Hsun        12   19        0.387
Tim Smyczek              33   53        0.384
Peter Polansky           11   18        0.379
Ricardas Berankis        12   20        0.375
Pere Riba                35   59        0.372
Ryan Harrison            33   56        0.371
Albert Ramos-Vinolas     33   56        0.371
Lukas Lacko              44   75        0.370
Taro Daniel              11   19        0.367
Kyle Edmund              11   19        0.367
Gastao Elias             11   19        0.367
Andrea Arnaboldi         10   18        0.357
Jared Donaldson          10   18        0.357
Jesse Huta-Galung        10   18        0.357
David Guez               10   19        0.345
Daniel Gimeno-Traver     42   80        0.344
James Ward               21   40        0.344
Radu Albot                9   18        0.333
Aljaz Bedene             19   38        0.333
Albano Olivetti           9   18        0.333
Andrey Golubev           34   75        0.312
Yen-Hsun Gonzalez         8   18        0.308
Potito Starace            8   19        0.296
Niels Desein              7   18        0.280
Jan Hajek                 7   18        0.280
Noah Rubin                7   18        0.280
Wang Gojowczyk            6   18        0.250
Tommy Haas               12   38        0.240
Yoshihito Nishioka        4   14        0.222
Soeda Andy                5   18        0.217
Alex Bogomolov-Jr.        5   18        0.217
Yen-Hsun Wawrinka         4   18        0.182
Robby Ginepri             3   18        0.143
Albert Montanes           8   54        0.129
Nicolas Almagro           0   18        0.000

NUMBER OF POINTS TO WIN STATISTICS
Player                 Most Least     Average
Tommy Robredo            30   18       19.462
Nick Kyrgios             32   19       19.111
